id,date,text
16,1753-06-23,At Colledge a Clowdy morning and in the afternoon Came up a Clowd of thunder and lightning. Towards night fell a very  hard shower.
17,1753-06-24,At Colledge a Cloudy morning heard Mr. Cotton of  New-town vociferate from the 19. of  Proverbs 2nd verse. In the afternoon from those words in the 37th. Psalm and  4th. verse Delight thyself in the Lord and he shall give thee  thy Desires.
18,1753-06-25,At Colledge a very rainy morning at 11 o'Clock  Disputed from the question assigned us last tuesday  But on which we Did not then Dispute By reason of Mr. Mayhews Being employed in taking an account of  the Books and other things Contained in the Library in order to the Printing a  new Catalogue thereof.
19,1753-06-26,At Colledge a very rainy Day as it has remained  since yesterday -- morning. By reason of my illness omitted Disputing from this  question generalia stuum phaenomina solvuntur ab atractione solis et  lun.   4    
20,1753-06-27,At Colledge. A Clowdy  morning. Afternoon together with Lock took  a ride to  Watertown -- Bridge and from thence round through  Brookline Back to Colledge again.
21,1753-06-28,At Colledge a Clowdy --  Day.
22,1753-06-29,At Colledge a Clear morning. Heard the  valedictory oration pronounced By Oliver. 2 o Clock set out for  Boston Designing to go from thence home.
24,1754-02-01,In the winter of 1754 we had no snow at all save a smattering or two  But perpetuall rains and warm weather thro 'ought the whole.
25,1754-03-02,Beg. [Beginning of March] Had a small flurry of snow.
26,1754-03-08,A Clowdy morning. I am now reading  my lord Orrerys letters to his son  Concerning Dr. Swift and his writings which for softness and  delicacy of style accuracy and serenity of sentiment are absolutely  inimitable. Reading also the last volume of Monsieur Rollin's  Belles Lettres which are worth their  weight in gold. -- for his excellent reflections on every remarkable event that  occurs in history he informs his readers of the true source   5      of  every action and instructs them in the method of forming themselves  upon the models of virtue to be met with in History.
27,1754-03-17,Kept sabath at  Cambridge. March about the middle.
28,1754-03-18,In the Evening we had several very sharp flashes of lightning attended with  a Distant grumbling of thunder.
29,1754-03-19,This morning is beyond description Beautyfull  the Skie bespangled with Clouds which shed a lustre on us by the refraction of the rays of light  together with the healthy and enlivening air which was purifyed By the thunder afford most spirited materials  for Contemplation. The gaiety of the weather is equally delightfull to the phylosopher Poet and the man of Pleasure.  The Phylosopher finds his passions all  Calm and serene and Pliable so that he finds no Difficulty in  subjecting them to the subserviency of his reason he can now contemplate all  the gaudy appearances of nature and like Pythagoras bring  Phylosophy down from heaven and make her  conversible to men. The Poet thinks this the Best time to Converse with his  muse and Consequently gives himself up wholly to her directions. His whole soul  is at her disposall and he no more retains the  government of himself. While the man of pleasure find such delicacys arising from the objects of sence as are adapted to produce the highest sensations of  delight in him.   6    
30,1754-04-01,Then Mr. Winthrop began a Course of Experimental
32,1754-04-03,The second lecture wherein which was wholly taken up in  explaining the Propertys of the Centers of gravity and motion which were  applyed to the instruments Cheifly in use in Common life such as the lever  pulley Ballance axis in peritrocheo &c. But  the Ballance was chiefly principally  insisted on. The reason of it was fully explained and the method of weighing  viz the distances of the Bodys from the Center of  motion must be precisely in a reciprocall  proportion of their quantitys of matter or  weights always alowing for the weight of the Beam  on which they are suspended as well as friction and the falsity of the  supposition that radii proceeding from the center of the earth are  parrellel. Mr.  Winthrop also demonstrated to us that all the advantages arising from  [  ] any of the engines in use resulted from the  different possion [position] of them with relation to force  and velocity thence he shew 'd the famous problem  of Archimedes viz to move any weight however great by any  force however small. -- I had like to have forgot that he applied the doctrines  of the center of gravity to the heavenly Bodys  shewing us the affections of the sun and planets  with respect to their Centers of gravity and instructed us in the manner of  finding the Common Center of gravity of any 2 of 'em e.g. earth and moon viz  By this proportion as the quantitys of matter in  [  ] Both added together is to the quantity of  matter in the one separtely so is the distance of  their centers to the distance of the Center of the other from the Common  Center sought. And to find the common Center of gravity of 3 4 or 5 or any  given number of Bodys having found the common center  of any 2 from that said Center draw a line to another of said  Bodys and find the common Center of gravity of these  two respecting the   12      common Center of gravity of the former 2 as a  Body containing a quantity of matter equal to Both said Bodys.
33,1754-04-05,The theory of the Ballance scales steel -- yard  c. and all and the 3 species of lever's continued to which  (viz) the lever he referred allmost all the  instruments in life and [  ] universally. To make a quilibrium the product of product  of the quantity of matter in the weight multiplyed into its distance from the Center of motion  must be equal to the quantity of matter in the power multiplyed into it's distance from said Center.
34,1754-04-06,The phnomina of The nature of the Pulley axis in  peritrochaeo and inclined Plane explained which all depend on the laws before  laid down (viz) that the quantity of matter in the weight bears the same  proportion to the quantity of matter in the power as the distance of the power  from the Center of motion to the distance of the weight from said Center.
35,1754-04-08,The Theory of simple machines and in particular of the inclined plane of  the wedge and screw and other machines compounded of these simple ones  finish'd.
36,1754-04-09,Sir Isaac Newtons three laws of nature proved and  illustrated together with the application of them to the planets which are  kept in their orbits by two forces acting upon them viz that of gravity and  that which is call'd its their  Centrifugal force whereby it they strives to recede from  the Center of their orbits and fly off there from in tangents.   13    
37,1754-04-10,The theory of Centrifugal forces continued and aplyed to the Cases of the planets and from this  Centrifugal force Mr. Winthrop confuted  the hypothesis of vortices from this also arises the spheroidal form of the  earth.
38,1754-04-11,But to be plain I am beginning Life anew. I have new Friendships to make  new Employments to follow new Concerns Prospects and Studies opening before  me. [  ] And now I have mentioned Studies I find  my self entering an unlimited Field. A Field in which  Demosthenes Cicero and others of immortal Fame have exulted before me! A  Field which incloses the whole Circle of Science and Literature the History  Wisdom and Virtue of all ages. -- Shall I dare to expatiate here in full  Career like the nobler Animals that range at large or shall I blindly  basely creep like the mole or the weezell? -- Tell  me.
39,1758-10-01,He nourishes a Wound in his Veins and is consumed with a blind hidden fire.  -- Warner FessendenClark Cranch Quincy. All of  them [cherished?] by their incessant Thinking the Wound in  their Hearts and all consume with a hidden internal flame.   16    
40,1758-10-05,I have read about 10 s in Justinian and Translated about 4 s into  English. This is the whole of my Days Work. I have smoaked chatted trifled loitered away this whole day  almost. By much the greatest Part of this day has been spent in unloading a  Cart in cutting oven Wood in making and recruiting my own fire in eating  nuts and apples in drinking   2      Tea cutting and smoaking Tobacco and in chatting with the Doctor's Wife  at their House and at this. Chores Chatt Tobacco Tea Steal away Time. But  I am resolved to translate Justinian and his Commentators Notes by day light  and read Gilberts Tenures by Night till I am master of both  and I will meddle with no other Book in this Chamber on a Week day. On a Sunday  I will read the Inquiry into the Nature of the human Soul and for Amusement I  will sometimes read Ovids Art of Love to Mrs. Savel. -- This shall be my Method. -- I have read  Gilberts 1st Section of feuds this evening but am not a  Master of it.
41,1758-10-06,Rose about sun rise. Unpitched a Load of Hay. Translated a Leaves more of  Justinian and in the afternoon walked to Deacon Webbs then  round by the  Mill Pond home. Smoaked a Pipe with Webb at the  Drs. and am now about reading over again Gilberts section of  feudal Tenures.
42,1758-10-07,Read in Gilbert. Rode with Webb to  Mr. Cranche's. Dined and drank Tea with him and then home.  Saturday night.
43,1758-10-08,If nothing is Matter which has not this antiactive Principle then human  Minds are not matter for they have no such Principle. We are conscious that we  can begin and end motion of ourselves.   3      If he argues a Posteriori  from Experiments he can pretend only to Probability. For Unless he was certain  that he had made the Experiment and found the Property in every Particle of  Matter that ever was created he could not be certain that there was no  Particle in the World without this Property tho he  had tried all but one and found that they had it. We have tried but a few  Parcells of Matter. The Utmost we can say is that all we have tried are  inactive. [  ] But for Argument sake I will deny that all  the Parcels that we have tried have this Property. On the Contrary I will say  that all have a motive Power downwards. Powder has an Active Power springing  every Way &c. Thus Experiment is turned against the Doctrine. I cant yet  see how he will prove all matter Anti inactive a Priori from Properties of  matter before known essential with which he must shew  this to be necessarily connected.
44,1758-10-09,Read in Gilberts Tenures. I must and will make that Book  familiar to me.
45,1758-10-10,Read in Gilbert. I read him slowly but I gain Ideas and  Knowledge as I go along which I dont always when I read.
46,1758-10-11,Rode to  Boston. Conversed with Ned Quincy and  Saml. Peter Chardon  c. By the Way Peter Chardon is a promising Youth. He aspires and will  reach to a considerable Height. He has a sense of the Dignity and Importance of  his Profession that of the Law. He has a just Contempt of the idle incurious  Pleasure hunting young fellows of the Town who pretend to study Law. He scorns  the Character and he aims at a nobler. He talks of exulting in an unlimited  field of natural civil and common Law talks of nerving sharpening the mind  by the Study of Law and Mathematicks quotes  Locks Conduct of the Understanding and transcribes Points of  Law into a Common-Place Book on Locks Modell. This  fellows Thoughts are not employed on Songs and Girls nor his Time on flutes  fiddles Concerts and Card Tables. He will make something.
47,1758-10-12,Examined the Laws of this Province concerning Pads Cattle fences &c.  and read in Gilbert. This small volume will take me a  fortnight but I will be master of it.
48,1758-10-13,4. It cant be called an indirect Way of delivering his Creatures out of  Pound [  ] to [  ] pay or tender the  Poundkeeper his fees and demand and receive his Cattle of him when he has  unlocked and opened the Pound Gate and turned the Creatures out? So that it  will not admit a Quere whether Lambert is liable to an Action  for receiving his Horses of the Pound keeper. Tis plain I think he is not.
49,1758-10-16,Read a few s in Gilbert. I proceed very slowly.
50,1758-10-17,I have not Spirits and Presence of mind to hunt up objects seek  out scenes of Observation and to watch critically the Air Countenances  Actions and Speeches of old men and young men of old Women and young Girls  of Physicians and Priests of old Maids and Batchelors. I should chatter with a  Girl and watch her Behaviour her answers to  Questions the workings of Vanity and other Passions in her Breast. But objects  before me dont suggest proper Questions to ask and proper Observations to  make so dull and confused at present is my mind. -- Betsy  Niles affects to trip lightly across the floor to act with a  Sprightly Air and to be polite. But she is under Restraint and awe from her  Unacquaintance with Company. Saw Lawyer  Thachers Father at Mr. Niles's. He said old  Coll. Thatcher of Barnstable was an  excellent man. He was a very holy man. I used to love to hear him pray. He was  a Counsellor and a Deacon. I have heard him say that of all his Titles that  of a Deacon he tho't the most honourable. - [Query] is he a new  Light? Old Age has commonly a sense of the Importance and Dignity of Religion.  I dare say he is not well pleased with his son's professing the Law. He had  rather have him a Deacon.
51,1758-10-19,What Passion is most active and prevalent in Dr.  Savel's mind? The Desire of Money. He retails Sugar by the Pound  [  ] by the bunch Pins Pen knifes to save these  Articles in his family and   8      neat a few Shillings Profit. He  [  ] makes poor People who are in his Debt  [  ] pay him in Labour. He  bargains with his Debtors in the 2 other Parishes for Wood which he sends to  the Landing Place and to Dr. Marshes. Thus by practice of  Physick by trading in trading and  bargaining and scheming he picks up a Subsistance for his family and gathers  very gradually Additions to his Stock. But this is low. The same Application  and scheming in his Profession would raise and spread him a Character procure  him profitable Business and make his fortune. But by this contemptible  Dissipation of mind among Pins Needles Tea Snuff Boxes Vendues Loads of  Wood day labour &c. he is negligent of the Theory  of his Profession and will live and die unknown. -- These driveling souls oh!  He aims not at fame only at a Living and a fortune!
52,1758-10-21,Rose with the sun. took the horse Brot up the Horse and took a  Ride over  Penns Hill as far as John Haywards in a cold  keen blustering N. Wester. Returned and breakfasted. I feel  brac'd as if the cold [  ] clear Air had given a Spring  to the System. -- I am now sett down to the Laws  relating to naval Trade and Commerce. Let me inquire of the next Master of a  Ship that I see what is a Bill of Lading what the Pursers Book. What Invoices  they keep. What Account they keep of Goods received on Board and of Goods  delivered out at another Port &c.
53,1758-10-22,Some Voyages We have nothing to do but receive Goods on board keep them  safely on the Voyage and deliver them safely to the Merchant to whom they are  directed. But sometimes we make Trading Voyages. We carry a Cargo of Goods to  sell for money or exchange for other Goods in the most profitable manner we  can.   9      Here we keep a regular Account make the owners Debtors for  Goods that we buy or receive and give them Credit for Goods that we deliver  out. . [ ] [ This notation was added to the original  manuscript  by Charles Francis Adams who  many of 's   entries into other manuscript volumes. ]
54,1758-10-24,Rode to  Boston. Arrived about 1/2 after 10. Went into the Court House  and sett down by Mr. Paine  att the Lawyers Table. I felt Shy under Awe and concern  for Mr. Gridley Mr. Prat  Mr. Otis Mr.  Kent and Mr. Thatcher were all present and looked  sour. I had no Acquaintance with any Body but Paine and  Quincy and they took but little Notice. However I attended  Court Steadily all Day and at night went to Consort with Samll.  Quincy and Dr. Gardiner.  There I saw the most Spacious and elegant Room the gayest Company of Gentlemen  and the finest Row of Ladies that ever I saw. But the weather was so dull and  I so disordered that I could not make one half the observations that I wanted  to make.
55,1758-10-25,I asked his Advice about studying Greek. He answered it is a matter of meer  Curiosity. -- After this long and familiar Conversation we went to Court.  Attended all Day and in the Evening I went to ask Mr.  Thatchers Concurrence with the Bar. Drank Tea and spent the whole  Evening upon original sin Origin of Evil the Plan of the Universe and at  last upon Law. He says He is sorry that he neglected to keep a common Place  Book when he began to study Law and he is half a mind to begin now.  Thatcher thinks this County is full.   11    
56,1758-10-26,Let me remember to mark in my Memorandum Book the Names of the Cases and  the Terms and Points of Law that occur in each Case to look these Terms and  Points in the Books at Otis's Prats or any  other office and to digest and write down the whole in the Evening at my  Lodgings. This will be reaping some real Advantage by my Attendance on the  Courts and without this the Observations that I may make will lie in total  Confusion in my mind.
57,1758-10-27,All Spent in absolute Idleness or what is worse gallanting the Girls.
58,1758-10-31,Set down and recollected my self and read a  little in Van Muyden a little in naval Trade and  Commerce.
59,1758-11-01,Read a little in Van Muyden and a little in naval Trade  and Commerce.
60,1758-11-02,Rode as far as Smelt Brook. Breakfasted made my fire and am now set down to  Van Muyden in Earnest. His latin is easy his definitions are  pretty clear and his Divisions of the subject are judicious.
61,1758-11-05,Sam has the utmost Reason to be grateful to Mr.  Pratt. He will have an opportunity 100 times better than Mr.  Prat had of rising [  ] into the Practice and  Reputation of the Law. I want to see and hear Sam at the Bar.  I want to know how he will succeed. I am concerned for him. The  Govr. a likes Sam much better  than Ned. [  ] He has seen or heard some  of Neds freaks. This is a [  ] Partiality  in favor of one Child and against another quite indecent in a father. Tis great  Weakness to expose himself so before Strangers.
62,1758-11-06,Went to Town. attended upon Court. Went to Mr.  Gridleys office but he had not returned to Town from  Brookline. Went again. Not returned. Attended Court till after  12 and began to grow uneasy expecting that Quincy would be  sworn and I have no Patron when Mr. Gridly made his  Appearance and on sight of me whispered to Mr. Prat  Dana Kent  Thatcher &c. about me. Mr. Prat said no  Body knew me. Yes says Gridley I have tried him he is a  very sensible Fellow. -- At last He rose up and bowed to his right Hand and  said Mr. Quincy when Quincy  [  ] rose up then bowed to me Mr.  Adams when I walked out. May it please your Honours I have 2 young Gentlemen Mr. Q.  and Mr. Adams to present for the Oath of an Attorney. Of  Mr. Q. it is sufficient for me to say he has lived 3 Years  with Mr. Prat. Of Mr. Adams as he is unknown  to your Honours It is necessary to say that he has  lived between 2 and 3 Years with Mr. Putnam of  Worcester has a good Character from him and all others who  know him and that he was with me the other day several Hours and I take it he  is qualified to study the Law by his scholarship and that he has made a very  considerable a very great Proficiency in the Principles of the Law and  therefore that the Clients Interest may be safely intrusted in his Hands. I  therefore recommend him with the Consent of the Bar to your Honors for the  Oath. Then Mr. Prat said 2 or 3 Words and the Clerk was  ordered to swear us. After the Oath Mr. Gridley took me by the  Hand and wished me much joy and recommended me to the Bar. I shook  Hands with the Bar and received their Congratulations and invited them over  to Stones to drink some Punch. Where the most of us resorted and had a very  chearful [Chat?].   14    
63,1758-12-05,Let me search for the Clue which Led great Shakespeare  into the Labyrinth of mental Nature! Let me examine how men think.  Shakespeare had never seen in real Life Persons under the  Influence of all those Scenes of Pleasure and distress which he has described  in his Works but he imagined how a Person of such a Character would behave in  such Circumstances by analogy from the Behaviour  of others that were most like that Character in [  ]  nearly similar Circumstances which he had seen.   16    
64,1758-12-18,Heard Parson Wibirt exert his Casuistry to J.  Spear. Warned him against selling his [drowned?] Sheep  for merchantable Mutton. It was not so nutritive nor palatable as Mutton  butchered [  ] and dressed and therefore was not worth  the same Price and it would be an Imposition and a Cheat that his Conscience  must disapprove to describe it and sell it as good Mutton. He could not  without [ sentence unfinished. ]   17    
65,1758-12-20,I am this forenoon resuming the Study of Van Muyden. I  begin at the 99th .
66,1758-12-21,Yesterday and to day I have read loud  Tullius 4. Orations against Cataline.  [  ] The Sweetness and Grandeur of his sounds and the  Harmony of his Numbers give Pleasure enough to reward the Reading if one  understood none of his meaning. Besides I find it a noble Exercise.  [  ] It exercises my Lungs raises my Spirits opens my  Porrs quickens the Circulations and so contributes  much to Health.
67,1758-12-26,Being the Evening after Christmas the Dr. and I spent the Evening with  Mr. Cleverly and  Major Miller. Mr.  Cleverly was chearful alert sociable and  complaisant. So much good sense and knowledge so much good Humour and Contentment and so much Poverty are not to be  found in any other House I believe in this Province. I am amazed that a man of  his Inginuity and sprightliness can be so shiftless. But what avails a noisy  fame a plentiful fortune and great figure and Consideration in the World?  Neither Prat nor Gridley  Mayhew nor Eliot  Stockbridge nor Hersey appear more easy and  happy with all their wealth and Reputation than he with neither. Major  Miller was sedate but the Conversation was not to his Taste. He began  to tell what this and that fellow said what Coll. Oliver did at  Dorchester and what he did at  Deadham but he said very little on the whole. Both of them took  unused freedoms with Coll.  Quincy and his Brother.  They are determined to esteem them both Knaves and fools.
68,1758-12-29,An opinion will spread among the People that I have not Cunning enough to  cope with Lambert. I should endeavour at my first setting out to possess the People  with an Opinion of my subtilty and Cunning. But  this affair certainly looks like a strong Proof of the Contrary.
69,1758-12-30,Andrew Oliver is a very sagacious  Trifler. He can decypher with surprizing  Penetration and Patience any Thing wrote in signs whether English Latin or  French. But to what Purpose? Tis like great skill and Dexterity in Gaming used  only for Amuzement. With all his Expertness he never wins any Thing. But this  is his Way to fame. One man would be a famous Orator another a famous  Physician another a famous Phylosopher or a  4th a famous Dancer and he would be a famous Decypherer. But I am quite  content with the 24 Letters without inventing all the possible Marks that might  signify the same Things. Ned [Quincy] is  learning to be such another Nugator Sagax an artificial arrangement of Dots  and Squares.   20    
70,1759-01-01,O. Pain [  ] aims at so many Things  but especially at getting Cash that he will be distracted. He pursues Cash  with all his Hart and soul. He writes well and tells a  very droll story but he is very peevish fretful odd tempered. He thinks  himself in high favour with the Ladies but he little  thinks how he is blasted sometimes.
71,1759-01-02,Wibirt [  ] exposes very freely to me  his Disposition the past and present state of his mind his susceptibility of  Impressions from Beauty &c. [  ] his Being amourous  and inclined to love his Want of Resolution to Court his Regard fondness  for O. his Intimacy [  ] and  dalliance with her &c. He has if I mistake not a good many  [  ] half born Thoughts of courting  O.
72,1759-02-01,I intend a journey to  Worcester to morrow. How many  observations shall I make on the People at West Town and  Worcester and how [  ] many new  Hints rules Ideas Hints Rules of Law and Eloquence shall I  acquire before I return? Let my journal answer this Question after my  Return.   29    
73,1759-02-02,I have read several Letters this afternoon and Evening in the Turkish  Spy.
74,1759-02-11,I spent one Evening this Week at Billy Belchers. I sat  book in Hand on one side of the fire while Dr. Wendell  Billy Belcher and Stephen Cleverly and  another young Gentleman sat in silence round the Card Table all the Evening.  Two Evenings I spent att Samll. Quincys  in the same manner Dr. Gardiner Henry Q.  Ned Q. and S.Q. all playing Cards the whole  Evening. This is the wise and salutary amuzement  that young Gentlemen take every Evening in this Town playing Cards drinking  Punch and Wine Smoaking Tobacco swearing &c.  while 100 of the best Books lie on the shelves Desks and Chairs in the same  room. This is not Misspence of Time. This is a wise a profitable Improvement  of Time. Cards and Back Gammon are fashionable Diversions. I'le be curst if  any young fellow can study in this town. What Pleasure can a young Gentleman  who is capable of thinking take in playing Cards? It gratifies none of the  Senses nor Sight [  ] Hearing taste smell feeling. It  can entertain the Mind only by hushng its Clamours. Cards Back Gammon are the  great antidotes to Reflection to thinking that cruel Tyrant within Us. What  Learning or Sense are we to expect from young Gentlemen in whom a fondness  for Cards &c. outgrows and choaks the Desire of Knowledge?   33    
75,1759-03-14,Common People are not incapable of discerning the Motives and Springs of  Words and Actions.
76,1759-03-19,Shybeares Dedication is in a strain of ironical Humorous Satyr. He reasons  as warmly and positively as if in earnest in his favour but his Reasoning is so manifestly weak and in some  places ambiguous that every Reader knows his true Intention. This System of  Religion is indeed new. Religious Institutions are mere means of increasing and  preserving Piety and Virtue in the World and any Thing that will produce  national public and private advantages on the Happiness and Morals  of a Nation however repugnant to common sense as Transubstantiation e.g. is  true.   37    
77,1759-04-08,Mem. To look into the files in the Clerk's office for the Files  of the Dispute concerning the Registry of Vessells  belonging to  Newbury viz. Mr. Prats state or Questions and  Mr. Gridleys Answers.   42      This is  . [ ] [ . ]    [  -- ]    [  -- ]
78,1759-04-26,An Advocate. The Patron of the Cause assisting the Litigant with his  Advice the Person who pleads or represents the Cause of his Client. They  should not be interrupted in their studies by [  ]. De  quota litis. Tis a public [offence?].
79,1759-06-29,Have this moment finished Woods new  Institute of the Imperial or civil Law. It is a great Help to the in  the study of Van Muyden and Justinian. I  understand Wood much better for having read Van  Muyden and shall now understand Van Muyden much  better for having read Wood.
80,1759-06-30,Make preparations to bear Misfortunes. Prepare your Mind furnish your mind  with Reflections Considerations that will support you and mitigate your  Grief.
81,1759-10-12,I have begun too to compare Dr. Cowells Institutes of the  Laws of  England with Justinians Institutes of the Laws of  Rome Chapters by Title by Title that each may  reflect Light upon the other and that I may advance my Knowledge of civil and  common Law at the same Time.  [     [ 5]   1760. ]
82,1760-05-26,This Rhenish Wine is made of a Grape that grows in  Germany upon the River Rhine and from which it receives its  Name and is very famous all over  Europe. Let me remember to look in Chambers under  Rhenish and in Salmons Geography under the Produce of the Countries upon the  Rhine for more Particulars of this Vine and Grape and Wine. The soil it  delights in the Method of Cultivation what digging what Manure what Pruning  c. Let me ask Mr. Quincy whether the soil of his Garden  suits them? and what sorts and how many [sorts?]   3      of  Grapes he has? Dont they require more Heat than we have for them? Where he got  his other slips. Where he got his Lime Trees? &c.
83,1760-05-27,At home. Read in Naval Trade and Commerce.
84,1760-05-28,In the afternoon Zab and I wandered down to  Germantown on foot-running a Parrallell between the Pleasures  Profits freedoms Ease and Uses of the several Professions especially  Physick and Divinity.   4    
85,1760-05-29,Pownals Remark every other House a Tavern. Twelve in this Town. Call upon  the select men and not to grant Approbation upon the grand jurors  to present all bad Houses &c.
86,1760-05-30,Nightingale Hayden  Saunders J. Spear N.  Spear Benoni Spear would vote for any Man for a  little Phlip or a Dram. N. Belcher John  Spear O. Gay James Brackett  John Mills Wm. Veasey &c. voted for  T. for other Reasons.   9    
87,1760-05-31,Drank Tea with Zab. Ran over the past Passages of my Life.  Little Boats water mills wind mills whirly Giggs Birds Eggs Bows and  Arrows Guns singing pricking Tunes Girls &c. Ignorance of Parents  Masters Cleverly Marsh Tutors  Mayhew &c. By a constant Dissipation among  Amuzements in my Childhood and by the Ignorance  of my Instructors in the more advanced years of my Youth my Mind has laid  uncultivated so that at 25 I am obliged to study Horace and  Homer. -- Proh Dolor!
88,1760-06-01,Coll. Grape vines delight in a  [light?] rockey and mountainous soil like our  Commons which would make excellent Vineyards. -- I suppose that most of the  Wines of the World are the Growth of Climates at least as northern as  ours. Champaign and Tockay are more southward but  Burgundy &c. &c. &c. are northward of us.
89,1760-06-02,Wasted the Day with a Magazine in my Hand. As it was Artillery Election it  seemed absurd to study and I had no Conveniencies or Companions for Pleasure  either in Walking riding drinking husling or any thing else.
90,1760-06-03,This Day has been lost in much the same Spiritless manner.
91,1760-06-04,Read nothing but Magazines as indeed an indisposition rendered me unfit for  any Application. Spent the evening with Zab at Mr. Wibirts  Discharged my Venom to Billy Veasey against the Multitude  Poverty ill Government and ill Effects of licensed Houses and the timorous  Temper as well as criminal [  ] Designs of the  Select Men who grant them Approbations. Then Spent the Evening with  Zab at Mr. Wibirts.
92,1760-06-05,Arose late. Feel disordered. 8 o'Clock 3 1/2 Hours after Sun rise is a  sluggard's rising Time. Tis a stupid Waste of so much Time. Tis getting an  Habit hard to conquer and Tis very hurtful to ones Health. 3 1/2 1/7 of the  24 is thus spiritlessly dozed away. God grant me an Attention  to remark and a Resolution to pursue every Opportunity for the Improvement of  my Mind and to save with the Parsimony of a Miser every moment of my  Time.   11    
93,1760-06-06,Arose very late. A cold rainy northeasterly storm of several Days  continuance. I have an ugly Cold a phlegmatic stomach and a Cholicky Pain in  my Bowells this morning. Read Timon of  Athens the Man hater in the Evening at the Drs.
94,1760-06-07,Arose late again. When shall I shake off the shackells of morning slumbers  and arise with the sun? Between sun rise and Breackfast I might write or read or contemplate a  good deal. I might before Breakfast [  ] entirely shake  off the Drowziness of the Morning and get my Thoughts into a steady Train my  Imagination raised my Ambition inflamed in short every Thing within me and  without into a Preparation for Improvement. -- I have some Points  [of] Law to examine to day.
95,1760-06-08,Spent the Evening and Night at the Coll's. in ill natured invidious  Remarks upon Eb. Thayer and Morals and General Court  c.
96,1760-06-09,Attended Major Crosbeys Court. Where  [  ] Capts. Thayer and  Hollis made their Appearance. Thayer had taken 2  Accounts of Nathan Spear in his own Hand Writing  and got the Writts drawn by  Niles. But upon my making a Defence  for Hunt Spear was afraid to enter and so  agreed to pay Costs and drop. But poor Thayer had to say  several Times I told him so but he would have his own Way. This little dirty  petty fogging Trade Thayer carries on yet.
